total_force,modeled_force,acceleration,residual
2327.0,50.14246214835253,218492429.6705023,2276.8575378516475
2395.0,50.14569163048318,219138326.09663275,2344.8543083695167
2395.0,50.14866518331276,219733036.66254863,2344.851334816687
2395.0,50.15139530697616,220279061.39522892,2344.848604693024
2420.0,50.15389339123925,220778678.24784625,2369.8461066087607
2420.0,50.15616963677178,221233927.35435247,2369.8438303632283
2368.0,50.15823298612077,221646597.22415125,2317.8417670138792
2387.0,50.160091064738936,222018212.94778335,2336.839908935261
2387.0,50.16175013232258,222350026.46451232,2336.8382498676774
70.0,48.34087471325297,-141825057.34940758,21.659125286747027
70.0,48.33553444626955,-142893110.74609217,21.66446555373045
70.0,48.330525384196875,-143894923.160627,21.669474615803125
70.0,48.32585436100399,-144829127.79920268,21.67414563899601
70.0,48.321527957426184,-145694408.51476464,21.678472042573816
70.0,48.317552398634454,-146489520.27311036,21.682447601365546
70.0,48.31393346870377,-147213306.259247,21.686066531296227
70.0,48.31067644635929,-147864710.7281438,21.689323553640712
60.0,48.30778605932464,-148442788.13507316,11.692213940675359
60.0,48.30526644829547,-148946710.34090734,11.69473355170453
60.0,48.30312113027692,-149375773.94461724,11.69687886972308
60.0,48.30135295556642,-149729408.8867167,11.698647044433578
60.0,48.299964058732364,-150007188.25352937,11.700035941267636
60.0,48.298955807491005,-150208838.50180078,11.701044192508995
60.0,48.298328754237595,-150334249.15248203,11.701671245762405
60.0,48.29808259407899,-150383481.18420365,11.701917405921009
60.0,48.29821613131418,-150356773.73716608,11.701783868685823
60.0,48.298727255414136,-150254548.91717386,11.701272744585864
60.0,48.29961292878393,-150077414.24321616,11.70038707121607
60.0,48.30086918958283,-149826162.08343488,11.699130810417167
102.0,48.30249117087134,-149501765.82573354,53.69750882912866
102.0,48.30447313321932,-149105373.35613742,53.69552686678068
102.0,48.30680850461811,-148638299.07637927,53.69319149538189
102.0,48.30948992067185,-148102015.86563092,53.69051007932815
102.0,48.31250925963453,-147498148.07309583,53.68749074036547
102.0,48.31585767051741,-146828465.89651936,53.68414232948259
102.0,48.319525596763526,-146094880.64729702,53.680474403236474
102.0,48.3235028001987,-145299439.96026158,53.6764971998013
102.0,48.327778388682844,-144444322.26343197,53.672221611317156
102.0,48.33234084764864,-143531830.4702742,53.66765915235136
40.0,48.337178073142404,-142564385.37152064,-8.337178073142404
40.0,48.34227740309901,-141544519.38019902,-8.342277403099011
40.0,48.34762564396821,-140474871.20635992,-8.347625643968207
40.0,48.353209091196504,-139358181.7607004,-8.353209091196504
40.0,48.359013544517516,-138197291.0964985,-8.359013544517516
62.0,48.56570770386187,-96858459.2276279,13.434292296138132
62.0,48.570342352223875,-95931529.5552274,13.429657647776125
62.0,48.57480602007288,-95038795.9854267,13.425193979927123
62.0,48.579103987378005,-94179202.5244012,13.420896012621995
62.0,48.58324245042904,-93351509.91419336,13.41675754957096
62.0,48.58722839423845,-92554321.15231158,13.412771605761549
62.0,48.59106945541928,-91786108.91614568,13.40893054458072
62.0,48.59477377737297,-91045244.52540743,13.405226222627029
62.0,48.59834986037715,-90330027.92457189,13.401650139622852
50.0,48.60180640962075,-89638718.0758518,1.3981935903792504
50.0,48.60515218427005,-88969563.14599316,1.3948478157299533
50.0,48.60839585026551,-88320829.94689932,1.3916041497344906
111.0,48.67899745786428,-74200508.42714706,62.32100254213572
111.0,48.679699939148165,-74060012.1703695,62.320300060851835
111.0,48.68028013236877,-73943973.52624825,62.31971986763123
111.0,48.68073668568668,-73852662.86266501,62.31926331431332
111.0,48.68106875199187,-73786249.60162677,62.31893124800813
111.0,48.68127600451109,-73744799.09778433,62.31872399548891
111.0,48.68135864537923,-73728270.924157,62.31864135462077
111.0,48.68131740961886,-73736518.0762289,62.31868259038114
111.0,48.68115356318552,-73769287.36289823,62.31884643681448
111.0,48.68086888663646,-73826222.6727102,62.31913111336354
40.0,48.680465632573906,-73906873.48522013,-8.680465632573906
40.0,48.67994645025482,-74010709.94903798,-8.679946450254818
40.0,48.6793142807599,-74137143.84802291,-8.679314280759897
40.0,48.67857223236951,-74285553.52610023,-8.678572232369511
40.0,48.67772344464903,-74455311.07019587,-8.677723444649033
40.0,48.676770944841536,-74645811.03169452,-8.676770944841536
128.0,48.638100581623846,-82379883.67523299,79.36189941837615
128.0,48.63461826325964,-83076347.34807442,79.36538173674036
128.0,48.63093582014989,-83812835.97002505,79.36906417985011
128.0,48.627046842925836,-84590631.41483533,79.37295315707416
128.0,48.62294616811493,-85410766.37701644,79.37705383188506
128.0,48.61863001920682,-86273996.1586385,79.38136998079318
128.0,48.614096104674964,-87180779.06500967,79.38590389532504
128.0,48.60934367857688,-88131264.28462705,79.39065632142312
128.0,48.60437357156177,-89125285.68764776,79.39562642843822
128.0,48.59918819892415,-90162360.21517076,79.40081180107585
128.0,48.59379154796437,-91241690.40712714,79.40620845203563
47.0,48.58818914142775,-92362171.71445256,-1.5881891414277476
47.0,48.582387971396635,-93522405.7206749,-1.582387971396635
47.0,48.576396401082405,-94720719.7835208,-1.5763964010824054
47.0,48.57022403814164,-95955192.37167388,-1.5702240381416388
47.0,48.56388158824652,-97223682.35069792,-1.5638815882465167
120.0,48.52295496033188,-105409007.93362597,71.47704503966813
120.0,48.51578282117727,-106843435.76454744,71.48421717882273
120.0,48.508548448928,-108290310.21440122,71.491451551072
120.0,48.50126613182762,-109746773.63447753,71.49873386817238
120.0,48.493949906866234,-111210018.62675416,71.50605009313377
120.0,48.4866134508797,-112677309.82406156,71.5133865491203
120.0,48.47926999282078,-114146001.43584517,71.52073000717922
120.0,48.47193224602818,-115613550.7943658,71.52806775397181
120.0,48.464612352078106,-117077529.5843808,71.5353876479219
120.0,48.45732182460259,-118535635.07948443,71.54267817539741
120.0,48.45007148526395,-119985702.94721238,71.54992851473605
121.0,48.44287139192697,-121425721.6146076,72.55712860807303
133.0,48.435730765810135,-122853846.83797508,84.56426923418987
133.0,48.428657927922906,-124268414.41542004,84.5713420720771
133.0,48.421660255927094,-125667948.814583,84.5783397440729
133.0,48.41474417045674,-127051165.90865327,84.58525582954326
133.0,48.40791515405822,-128416969.1883577,84.59208484594177
133.0,48.40117779850467,-129764440.29906765,84.59882220149532
133.0,48.3945358729915,-131092825.40170196,84.6054641270085
133.0,48.38799240987526,-132401518.02495028,84.61200759012473
133.0,48.3815498123168,-133690037.53664158,84.61845018768321
133.0,48.37520999196589,-134958001.60682386,84.62479000803411
133.0,48.36897454095389,-136205091.80922246,84.6310254590461
133.0,48.36284493435026,-137431013.12994957,84.63715506564975
215.0,48.356822753345845,-138635449.3308328,166.64317724665415
215.0,48.3509099170509,-139818016.58982223,166.6490900829491
215.0,48.34510890762462,-140978218.4750773,166.65489109237538
215.0,48.33942296997399,-142115406.00520372,166.66057703002602
215.0,48.33385627138203,-143228745.7235949,166.66614372861795
215.0,48.328414020227726,-144317195.954456,166.67158597977226
216.0,48.32310255619908,-145379488.76018542,167.67689744380093
216.0,48.31792942646867,-146414114.70626667,167.68207057353132
216.0,48.31290345310505,-147419309.3789909,167.68709654689496
216.0,48.308034784785846,-148393043.04283205,167.69196521521417
476.0,48.303334919961486,-149333016.00770465,427.69666508003854
476.0,48.29881669270858,-150236661.4582855,427.70118330729144
476.0,48.29449422227087,-151101155.54582793,427.7055057777291
477.0,48.29038283568796,-151923432.86240938,428.709617164312
477.0,48.28649897697438,-152700204.6051258,428.71350102302563
477.0,48.28286011656333,-153427976.68733633,428.7171398834367
477.0,48.27948467082689,-154103065.83462375,428.7205153291731
483.0,48.27639193242469,-154721613.51506412,434.7236080675753
483.0,48.273602001187605,-155279599.7624807,434.7263979988124
483.0,48.27113569997049,-155772860.00590307,434.7288643000295
483.0,48.26901446489986,-156197107.02002978,434.73098553510016
493.0,48.267260210412196,-156547957.9175627,444.7327397895878
709.0,48.26589517883959,-156820964.2320834,660.7341048211604
709.0,48.26494178904172,-157011642.19165778,660.7350582109583
727.0,48.26442250019069,-157115499.96186328,678.7355774998093
727.0,48.264359706353744,-157128058.7292528,678.7356402936463
727.0,48.264775673247186,-157044865.35056493,678.7352243267528
727.0,48.2656925186177,-156861496.27646244,678.7343074813823
800.0,48.26713222555567,-156573554.88886777,751.7328677744443
800.0,48.26911667214464,-156176665.571074,751.7308833278554
800.0,48.27166766522583,-155666466.9548366,751.7283323347742
800.0,48.2748069733929,-155038605.3214213,751.7251930266071
859.0,48.27855635411009,-154288729.17798442,810.72144364589
859.0,48.28293756213474,-153412487.5730537,810.7170624378653
1164.0,48.287972322002915,-152405535.59941798,1115.7120276779972
1164.0,48.293682253766825,-151263549.24663714,1115.7063177462333
1242.0,48.30008875428221,-149982249.1435595,1193.6999112457179
1242.0,48.30721284724709,-148557430.55058455,1193.692787152753
1242.0,48.31507502016417,-146984995.96716648,1193.6849249798358
1340.0,48.3236950664552,-145260986.70896143,1291.6763049335448
1340.0,48.33309194598967,-143381610.80206743,1291.6669080540103
1340.0,48.34328366610348,-141343266.7793054,1291.6567163338966
1340.0,48.354287171643115,-139142565.67137873,1291.6457128283569
1602.0,48.366118226352754,-136776354.72945124,1553.6338817736473
1602.0,48.37879127462724,-134241745.0745534,1553.6212087253728
1602.0,48.39231928658317,-131536142.68336818,1553.6076807134168
1719.0,48.40671359966076,-128657280.0678499,1670.5932864003391
1882.0,48.42198376976936,-125603246.0461296,1833.5780162302306
1882.0,48.438137434230555,-122372513.15389016,1833.5618625657694
1882.0,48.4551801743287,-118963965.13426118,1833.5448198256713
1882.0,48.473115358545336,-115376928.29093523,1833.5268846414547
2063.0,48.491943954580464,-111611209.08390915,2014.5080560454196
2063.0,48.51166431311313,-107667137.37737574,2014.4883356868868
2063.0,48.53227193857667,-103545612.2846678,2014.4677280614233
2063.0,48.553759267809845,-99248146.4380324,2014.44624073219
2472.0,48.576115477424835,-94776904.51503544,2423.423884522575
2540.0,48.599326334810144,-90134733.03797282,2491.40067366519
2540.0,48.62337409434725,-85325181.13055266,2491.376625905653
2759.0,48.64823742411861,-80352515.17627947,2710.3517625758814
2759.0,48.673891340340255,-75221731.9319509,2710.32610865966
2759.0,48.700307133586996,-69938573.28260317,2710.299692866413
2759.0,48.72745228647344,-64509542.70531424,2710.2725477135264
2982.0,48.75529039571993,-58941920.85601576,2933.24470960428
2982.0,48.783781117905164,-53243776.41896904,2933.216218882095
2982.0,48.81288015975935,-47423968.04813109,2933.1871198402405
2982.0,48.842539332267364,-41492133.54652934,2933.1574606677327
3204.0,48.87270668087075,-35458663.8258528,3155.1272933191294
3204.0,48.90332668925895,-29334662.14821301,3155.096673310741
3204.0,48.93434053657178,-23131892.68564619,3155.0656594634283
3113.0,48.96568637948083,-16862724.103836343,3064.0343136205192
3531.0,48.997299638464334,-10540072.30713591,3482.0027003615355
3531.0,49.02911328464449,-4177343.071104959,3481.9708867153554
3531.0,49.06105813747889,2211627.4957749997,3481.938941862521
3531.0,49.093063188316165,8612637.6632303,3481.906936811684
3719.0,49.125055959734574,15011191.946912557,3669.8749440402653
3719.0,49.1569628965388,21392579.30775732,3669.843037103461
3719.0,49.18870976737245,27741953.47448811,3669.8112902326275
3884.0,49.220222048253326,34044409.650662914,3834.779777951747
3884.0,49.25142526775619,40285053.55123617,3834.748574732244
3822.0,49.28224531114587,46449062.2291714,3772.7177546888543
3822.0,49.3126086955407,52521739.10813779,3772.687391304459
4060.0,49.342442835316426,58488567.063283175,4010.6575571646836
4060.0,49.37167631779037,64335263.55807111,4010.6283236822096
4060.0,49.40023920363455,70047840.72690643,4010.5997607963654
4060.0,49.4280633529861,75612670.59721798,4010.571936647014
4121.0,49.45508276176417,81016552.35283077,4071.544917238236
4121.0,49.481233885291495,86246777.0582959,4071.5187661147083
4121.0,49.506455934845846,91291186.96916662,4071.4935440651543
4121.0,49.530691149995235,96138229.99904492,4071.469308850005
4138.0,49.55388506109555,100777012.21910678,4088.4461149389044
4138.0,49.57598675214663,105197350.42932443,4088.4240132478535
4043.0,49.59694911525664,109389823.05132598,3993.403050884743
4014.0,49.616729069262554,113345813.85250762,3964.3832709307376
4014.0,49.635287716061164,117057543.2122294,3964.364712283939
4014.0,49.652590430504574,120518086.10091172,3964.3474095694955
4014.0,49.66860690271095,123721380.54218702,3964.331393097289
3828.0,49.683311156077956,126662231.21558876,3778.316688843922
3828.0,49.69668155008833,129336310.01766212,3778.303318449912
3828.0,49.708700758035526,131740151.60710178,3778.2912992419647
3828.0,49.71935570091673,133871140.18334262,3778.280644299083
3678.0,49.728637425396265,135727485.07924935,3628.2713625746037
3678.0,49.736540928784436,137308185.75688452,3628.2634590712155
3678.0,49.743064946335195,138612989.26703632,3628.2569350536646
3751.0,49.74821172148757,139642344.2975115,3701.2517882785123
3570.0,49.75198678019286,140397356.03856853,3520.248013219807
3570.0,49.75439872830915,140879745.6618268,3520.2456012716907
3570.0,49.755459084868,141091816.9735968,3520.244540915132
3149.0,49.75518215202489,141036430.40497413,3099.244817847975
3149.0,49.75358490854094,140716981.70818388,3099.246415091459
3149.0,49.750686907225564,140137381.44510984,3099.2493130927746
3149.0,49.746510163192454,139302032.63848832,3099.2534898368076
2929.0,49.74107903331204,138215806.6624049,2879.258920966688
2929.0,49.734420098180905,136884019.63617837,2879.265579901819
2861.0,49.72656206249001,135312412.49799913,2811.27343793751
2861.0,49.71753568929289,133507137.8585752,2811.282464310707
2647.0,49.70737377871578,131474755.74315244,2597.292626221284
2647.0,49.69611119118009,129222238.23601472,2597.30388880882
2647.0,49.68378490278952,126756980.55790085,2597.3162150972103
2647.0,49.670434074898296,124086814.9796566,2597.3295659251016
2448.0,49.65610012592498,121220025.18499362,2398.343899874075
2448.0,49.64082680578777,118165361.15755048,2398.3591731942124
2448.0,49.62466028147816,114932056.29562864,2398.375339718522
2115.0,49.6076492392628,111529847.85255696,2065.3923507607374
2115.0,49.58984499567395,107968999.13478737,2065.410155004326
2115.0,49.57130159656214,104260319.3124244,2065.428698403438
2158.0,49.55207588461469,100415176.92293504,2108.4479241153854
2034.0,49.53222753044926,96445506.0898494,1984.4677724695507
2034.0,49.51181903316439,92363806.63287546,1984.4881809668357
2034.0,49.49091569026274,88183138.05254455,1984.5090843097373
2034.0,49.4695855235504,83917104.71007787,1984.5304144764496
1941.0,49.44789914535181,79579829.07035947,1891.5521008546482
1941.0,49.425929560096336,75185912.01926395,1891.5740704399036
1941.0,49.403751904770786,70750380.95415476,1891.5962480952292
1857.0,49.381443129120946,66288625.82418695,1807.618556870879
1857.0,49.359081611472085,61816322.29441404,1807.640918388528
1857.0,49.33674670916141,57349341.83228016,1807.6632532908386
1857.0,49.31451825231131,52903650.46225954,1807.6854817476888
1674.0,49.292475998249074,48495199.64981265,1624.707524001751
1674.0,49.27069906781344,44139813.56268562,1624.7293009321866
1674.0,49.24926538549335,39853077.09866855,1624.7507346145067
1674.0,49.22825114419128,35650228.83825377,1624.7717488558087
1707.0,49.20773031128569,31546062.257135287,1657.7922696887142
1707.0,49.187774184175474,27554836.835091934,1657.8122258158246
1707.0,49.168450993357894,23690198.671576567,1657.831549006642
1707.0,49.14982554627779,19965109.255556017,1657.8501744537223
1763.0,49.13195890944421,16391781.888839789,1713.8680410905558
1763.0,49.1149081341183,12981626.823658124,1713.8850918658818
1773.0,49.09872603183023,9745206.36604447,1723.9012739681698
1940.0,49.08346099609641,6692199.219280854,1890.9165390039036
1940.0,49.06915685493522,3831370.987041853,1890.9308431450647
1940.0,49.05585273875827,1170547.7516520768,1890.9441472612418
1940.0,49.043582961037764,-1283407.7924489975,1890.9564170389622
2042.0,49.03237692033491,-3524615.933019668,1992.9676230796651
2042.0,49.022259029686055,-5548194.062791765,1992.977740970314
2042.0,49.01324866738672,-7350266.5226580575,1992.9867513326133
2042.0,49.00536013552864,-8927972.89427463,1992.9946398644713
2150.0,48.99860261614314,-10279476.771374231,2101.001397383857
2150.0,48.9929801247886,-11403975.042281672,2101.0070198752114
2150.0,48.98849146976886,-12301706.04623016,2101.0115085302314
2090.0,48.98513022873388,-12973954.25322652,2041.0148697712661
2298.0,48.98288475489866,-13423049.020269886,2249.017115245101
2298.0,48.98173822465307,-13652355.069387704,2249.018261775347
2298.0,48.981668736902215,-13666252.619558943,2249.018331263098
2298.0,48.98264946976666,-13470106.046670116,2249.017350530233
2387.0,48.98464889031844,-13070221.936314369,2338.0153511096814
2387.0,48.98763100101688,-12473799.796626903,2338.012368998983
2387.0,48.99155560067978,-11688879.86404635,2338.00844439932
2462.0,48.99637854293133,-10724291.41373653,2413.0036214570687
2462.0,49.002051986431646,-9589602.713673376,2412.9979480135685
2462.0,49.008524640619676,-8295071.876066737,2412.9914753593803
2462.0,49.01574201502198,-6851596.9956070185,2412.984257984978
2520.0,49.023646681328266,-5270663.734348491,2470.976353318672
2659.0,49.03217855763049,-3564288.473904133,2609.9678214423693
2659.0,49.04127522332932,-1744955.3341381252,2609.958724776671
2659.0,49.05087226881259,174453.76251637936,2609.949127731187
2714.0,49.06090367414871,2180734.8297396675,2664.939096325851
2714.0,49.071302199080776,4260439.816152677,2664.928697800919
2714.0,49.08199976109634,6399952.219266444,2664.9180002389035
2714.0,49.09292778422993,8585556.84598349,2664.90707221577
2710.0,49.10401751376622,10803502.75324192,2660.8959824862336
2710.0,49.11520030266356,13040060.532709584,2660.8847996973363
2710.0,49.12640788084661,15281576.16931852,2660.8735921191533
2645.0,49.13757262016851,17514524.033700116,2595.8624273798314
2623.0,49.14862780727093,19725561.45418249,2573.8513721927293
2623.0,49.15950793235243,21901586.470484734,2573.8404920676476
2623.0,49.17014899229702,24029798.45940229,2573.829851007703
2534.0,49.18048879503989,26097759.00797639,2484.8195112049602
2534.0,49.190467246848144,28093449.36962612,2484.809532753152
2534.0,49.20002661020437,30005322.040870786,2484.7999733897955
2534.0,49.20911173246045,31822346.49208747,2484.7908882675397
2474.0,49.21767025598083,33534051.19616352,2424.782329744019
2474.0,49.22565282572655,35130565.14530722,2424.7743471742733
2474.0,49.233013311817075,36602662.36341186,2424.766986688183
2474.0,49.2397090639189,37941812.783777714,2424.760290936081
2359.0,49.2457012093133,39140241.86265841,2309.754298790687
2359.0,49.2509549941487,40190998.829737306,2309.7490450058513
2359.0,49.25544015037389,41088030.07477615,2309.744559849626
2359.0,49.259131258945374,41826251.78907253,2309.740868741055
2290.0,49.26200807924049,42401615.84809516,2240.7379919207597
2290.0,49.2640558207197,42811164.14393671,2240.7359441792805
2290.0,49.26526534041665,43053068.08332633,2240.7347346595834
2155.0,49.265633259047455,43126651.80948842,2105.7343667409527
2155.0,49.265161996660034,43032399.3320046,2105.73483800334
2155.0,49.26385972965766,42771945.931529626,2105.7361402703423
2155.0,49.26174026722462,42348053.44492104,2105.7382597327755
2097.0,49.25882284579002,41764569.1580018,2047.74117715421
2114.0,49.25513184710051,41026369.42009907,2064.7448681528995
2114.0,49.250696452699025,40139290.53980205,2064.7493035473008
2114.0,49.245550251083074,39110050.216612406,2064.754449748917
2066.0,49.23973081431324,37946162.86264546,2016.7602691856869
2066.0,49.233279259516124,36655851.9032225,2016.7667207404838
2066.0,49.22623980643018,35247961.2860335,2016.7737601935698
2066.0,49.218659333541055,33731866.70820881,2016.7813406664588
1998.0,49.210586925229244,32117385.045845997,1948.7894130747707
1998.0,49.20207339752782,30414679.50556148,1948.7979266024722
1998.0,49.1931707944013,28634158.880257048,1948.8068292055987
1965.0,49.183931856002324,26786371.200461872,1915.8160681439977
1965.0,49.17440946839535,24881893.679068424,1915.8255905316046
1965.0,49.1646561081107,22931221.622137357,1915.8353438918894
1965.0,49.15472329599206,20944659.19841081,1915.845276704008
1955.0,49.144661074252035,18932214.85040523,1905.855338925748
1955.0,49.134517517232084,16903503.446415067,1905.865482482768
1955.0,49.12433827867952,14867655.735901557,1905.8756617213205
1955.0,49.11416616907782,12833233.815561049,1905.8858338309221
1953.0,49.10404075240121,10808150.480240583,1903.8959592475987
1953.0,49.09399795640685,8799591.281368397,1903.9060020435932
1953.0,49.08406970038815,6813940.077627078,1903.9159302996118
1953.0,49.07428355255872,4856710.511741228,1903.9257164474413
1942.0,49.06466243337996,2932486.675989814,1892.93533756662
1942.0,49.05522438274813,1044876.5496239066,1892.944775617252
1942.0,49.045982409787186,-803518.0425643921,1892.9540175902127
1942.0,49.03694444392371,-2611111.21525988,1892.9630555560764
1964.0,49.02811340287847,-4377319.424308836,1914.9718865971215
1964.0,49.01948738472222,-6102523.055558093,1914.9805126152778
1964.0,49.0110599770357,-7788004.592862911,1914.9889400229642
1991.0,49.00282065912809,-9435868.174384348,1941.997179340872
1991.0,48.99475525706182,-11048948.587638326,1942.0052447429382
1991.0,48.98684640207194,-12630719.58561428,1942.013153597928
2050.0,48.97907394927906,-14185210.144189186,2001.0209260507208
2050.0,48.971415337033974,-15716932.593206877,2001.028584662966
1907.0,48.96384589558233,-17230820.88353578,1858.0361541044176
1907.0,48.95633913118419,-18732173.76316525,1858.0436608688158
1936.0,48.94886701402471,-20226597.195060924,1887.0511329859753
1936.0,48.94140029090486,-21719941.81903079,1887.0585997090952
1936.0,48.93390883224731,-23218233.55054017,1887.0660911677528
1936.0,48.92636201132515,-24727597.734971903,1887.0736379886748
1962.0,48.9187291063445,-26254178.731102496,1913.0812708936555
1962.0,48.91097971313627,-27804057.37274792,1913.0890202868636
1962.0,48.90308415243355,-29383169.51329168,1913.0969158475664
2038.0,48.89501385141304,-30997229.717394337,1989.104986148587
2038.0,48.886741683320494,-32651663.335902616,1989.1132583166795
2038.0,48.87824226408713,-34351547.18257673,1989.121757735913
2038.0,48.86949221950022,-36101556.099956855,1989.1305077804998
2055.0,48.86047043889072,-37905912.22185735,2006.1395295611094
2055.0,48.851158321389136,-39768335.72217543,2006.1488416786108
2055.0,48.84154000765648,-41691998.46870732,2006.1584599923435
2055.0,48.83160258355041,-43679483.28991979,2006.1683974164496
2051.0,48.82133624620748,-45732750.75850636,2002.1786637537925
2051.0,48.81073443279667,-47853113.44066821,2002.1892655672034
2051.0,48.79979392036954,-50041215.92609491,2002.2002060796306
2051.0,48.78851490895017,-52297018.20996869,2002.2114850910498
2038.0,48.77690110087213,-54619779.82557565,1989.2230988991278
2020.0,48.7649597892541,-57008042.14918241,1971.2350402107459
2020.0,48.75270196731092,-59459606.53781798,1971.247298032689
1978.0,48.74014246587564,-61971506.82487339,1929.2598575341244
1978.0,48.72730011740244,-64539976.51951388,1929.2726998825976
1978.0,48.71419793355577,-67160413.28884661,1929.2858020664441
1978.0,48.70086327619925,-69827344.76015158,1929.2991367238008
1951.0,48.68732799905446,-72534400.18911007,1902.3126720009454
1951.0,48.673628534151554,-75274293.16969122,1902.3263714658485
1951.0,48.659805893678836,-78038821.2642353,1902.3401941063212
1951.0,48.64590556302487,-80818887.39502802,1902.3540944369752
1924.0,48.6319772773298,-83604544.53404061,1875.3680227226703
1989.0,48.618074690883695,-86385061.82326283,1940.3819253091162
1989.0,48.60425495631842,-89149008.73631704,1940.3957450436815
1989.0,48.590578230336924,-91884353.93261725,1940.4094217696631
1962.0,48.57710712021597,-94578575.9568084,1913.422892879784
1962.0,48.563906080980495,-97218783.80390348,1913.4360939190194
1962.0,48.55104076490565,-99791847.01887146,1913.4489592350944
1916.0,48.53857731541344,-102284536.917313,1867.4614226845865
1916.0,48.52658159402039,-104683681.19592312,1867.4734184059796
1916.0,48.51511833601615,-106976332.796772,1867.4848816639837
1916.0,48.504250243546664,-109149951.29066892,1867.4957497564533
1791.0,48.49403703610502,-111192592.7789975,1742.505962963895
1791.0,48.48453448513694,-113093102.97261363,1742.515465514863
1791.0,48.47579346329628,-114841307.34074676,1742.5242065367038
1791.0,48.46785904187711,-116428191.624579,1742.532140958123
1779.0,48.46076967205238,-117846065.58952571,1730.5392303279477
1779.0,48.454556484725984,-119088703.05480528,1730.545443515274
