record_num,Rope_S,Touch_S,cur_pos_abs,Weight
171,1684,557,1958485498.0,1759.7
172,1646,537,1958672417.0,1759.7
173,1722,536,1958861182.0,1759.7
174,1793,541,1958997896.0,1759.7
175,1838,541,1959114387.0,1759.7
176,1868,544,1959209941.0,1759.7
177,1876,548,1959291493.0,1759.7
178,1794,553,1959356561.0,1759.7
179,1703,587,1959410996.0,1759.7
180,1563,669,1959455416.0,1759.7
181,1408,756,1959490769.0,1759.7
182,1187,781,1959503925.0,1759.7
183,1114,795,1959492148.0,1759.7
184,1122,810,1959454276.0,1759.7
185,1038,804,1959390989.0,1759.7
186,972,844,1959301685.0,1759.7
187,955,847,1959186609.0,1759.7
188,940,861,1959045538.0,1759.7
189,936,872,1958874518.0,1759.7
190,916,867,1958686487.0,1759.7
191,901,866,1958462835.0,1759.7
192,942,860,1958218438.0,1759.7
193,1011,867,1957954905.0,1759.7
194,1052,851,1957659194.0,1759.7
195,1083,825,1957314520.0,1759.7
196,1095,808,1956973007.0,1759.7
197,1119,764,1956629214.0,1759.7
198,1157,715,1956285294.0,1759.7
199,1279,691,1955925264.0,1759.7
200,1367,642,1955549208.0,1759.7
201,1491,619,1955213388.0,1759.7
202,1709,607,1954869380.0,1759.7
203,1916,582,1954503944.0,1759.7
204,2199,595,1954193862.0,1759.7
205,2551,636,1953914995.0,1759.7
206,3009,637,1953654942.0,1759.7
207,3100,594,1953426063.0,1759.7
208,3309,567,1953208234.0,1759.7
209,3457,570,1953037973.0,1759.7
210,3240,573,1952963841.0,1759.7
211,3009,493,1952914791.0,1759.7
212,3432,469,1952872637.0,1759.7
213,3295,419,1952839199.0,1759.7
214,3445,408,1952812048.0,1759.7
215,3596,379,1952791220.0,1759.7
216,3546,395,1952784640.0,1759.7
217,3560,366,1952807914.0,1759.7
218,3611,338,1952860252.0,1759.7
219,3625,320,1952935666.0,1759.7
220,3471,330,1953036798.0,1759.7
221,3408,381,1953166645.0,1759.7
222,3302,390,1953315781.0,1759.7
223,3188,416,1953490026.0,1759.7
224,3022,448,1953699271.0,1759.7
225,2871,475,1953923792.0,1759.7
226,2687,501,1954173700.0,1759.7
227,2482,504,1954455258.0,1759.7
228,2380,520,1954755796.0,1759.7
229,2232,565,1955087803.0,1759.7
230,2103,575,1955439423.0,1759.7
231,2069,577,1955783495.0,1759.7
232,1946,567,1956119524.0,1759.7
233,1931,561,1956460652.0,1759.7
234,2010,555,1956785120.0,1759.7
235,2036,552,1957102628.0,1759.7
236,2042,536,1957407840.0,1759.7
237,2033,523,1957735180.0,1759.7
238,2029,520,1958055196.0,1759.7
239,1993,518,1958395048.0,1759.7
240,1957,511,1958751378.0,1759.7
241,1880,496,1959092783.0,1759.7
242,1887,490,1959395111.0,1759.7
243,2042,496,1959693161.0,1759.7
244,1906,478,1959976513.0,1759.7
245,1728,471,1960241168.0,1759.7
246,1745,452,1960499633.0,1759.7
247,1820,372,1960739180.0,1759.7
248,1673,248,1960948081.0,1759.7
249,1573,43,1961131840.0,0
250,1476,38,1961316068.0,0
251,632,21,1961518585.0,0
252,50,21,1961758061.0,0
253,5,19,1961995637.0,0
254,1,19,1962224867.0,0
255,1,19,1962428704.0,0
256,1,19,1962602814.0,0
257,1,20,1962755167.0,0
258,2,21,1962881714.0,0
259,2,21,1962982336.0,0
260,1,16,1963057118.0,0
261,1,17,1963106043.0,0
262,1,18,1963129773.0,0
263,1,17,1963126638.0,0
264,1,16,1963098225.0,0
265,1,14,1963053288.0,0
266,1,14,1962986763.0,0
267,1,12,1962911460.0,0
268,2,13,1962825605.0,0
269,3,14,1962726563.0,0
270,3,15,1962623105.0,0
271,4,15,1962514499.0,0
272,4,16,1962407133.0,0
273,5,15,1962297213.0,0
274,13,15,1962179942.0,0
275,19,15,1962060048.0,0
276,24,15,1961944810.0,0
277,28,15,1961839502.0,0
278,30,15,1961741015.0,0
279,32,15,1961654505.0,0
280,31,15,1961580889.0,0
281,30,15,1961512354.0,0
282,29,15,1961451719.0,0
283,29,15,1961395721.0,0
284,29,15,1961344370.0,0
285,28,15,1961294469.0,0
286,28,15,1961247634.0,0
287,28,15,1961198858.0,0
288,28,15,1961152175.0,0
289,28,15,1961107358.0,0
290,28,15,1961062198.0,0
291,28,15,1961019576.0,0
292,28,15,1960976336.0,0
293,28,15,1960933519.0,0
294,28,15,1960889883.0,0
295,28,15,1960846633.0,0
296,28,15,1960802592.0,0
297,28,15,1960761375.0,0
