parameter,value,error_percent
m_true,2.5,0.0
m_estimated,0.3125032737681723,87.49986904927312
k_acc_true,0.002,0.0
k_acc_estimated,0.0020000032922311063,0.0001646115553111463
k_f_true,1.5,0.0
k_f_estimated,0.18750239902044347,87.49984006530377
k_p_true,0.8,0.0
k_p_estimated,0.10000000017826309,87.49999997771712
