record_num,mode,Rope_S,Touch_S,cur_pos_abs,cur_vel,cur_acc
0,0,10,10,1961261380.0,0.012502893481717011,0.07103987785254284
1,3,10,10,1961261379.0,-0.003854704530833563,-0.0148587470200288
2,3,10,10,1961261377.0,-0.00762046511627907,-0.014348423588823066
3,3,10,10,1961261381.0,0.009610044678657349,0.04139649224134552
4,3,10,10,1961261379.0,-0.004490929921301997,-0.03166324437523844
5,3,10,10,1961261379.0,0.0,0.010891826837421448
6,3,10,10,1961261379.0,0.0,0.0
7,3,10,10,1961261376.0,-0.007221183357245337,-0.01738182969298568
8,3,10,10,1961261376.0,0.0,0.0164384468059851
9,3,10,10,1961261368.0,-0.008011276859898768,0.026266322055574835
10,3,10,10,1961261354.0,-0.044509770074283694,-0.1402255081999402
11,3,10,10,1961261301.0,-0.13835377777777777,-0.31654030775289266
12,3,10,10,1961261270.0,-0.10449523748292212,0.11413084544954932
13,3,10,10,1961261164.0,-0.257766827458256,-0.37272010837192887
14,3,10,10,1961261017.0,-0.34745713609467455,-0.21199685560719345
15,3,10,10,1961260834.0,-0.4472946573426574,-0.24402617407954513
16,3,10,10,1961260608.0,-0.548846450118696,-0.2466209777359215
17,3,10,10,1961260205.0,-0.9074973220229786,-0.8076295429140019
18,3,10,10,1961259875.0,-0.8012273921852388,0.2580193295503049
19,3,10,10,1961259497.0,-0.8964417686305554,-0.2258046138087172
20,3,10,10,1961259062.0,-1.0617564245810056,-0.4035032138684807
21,3,10,10,1961258579.0,-1.1607453343264769,-0.23789009345159517
22,3,10,10,1961257757.0,-1.1674327286687782,0.11911765927129579
23,3,10,10,1961257130.0,-2.1673220768089667,-3.4562715448012074
24,3,10,10,1961256115.0,-1.2559976390938286,1.2973661414327582
25,3,10,10,1961255065.0,-1.0745259539879526,3.96931314356098
26,3,10,10,1961255065.0,-1.0745259539879526,3.96931314356098
27,3,10,10,1961253941.0,-1.9947523466192774,-1.6331172207494018
28,3,10,10,1961252657.0,-2.6477317286135693,-1.34650640797256
29,3,10,10,1961251687.0,-2.3567600532931703,0.7069591969432029
30,3,10,10,1961250678.0,-2.393694986425339,-0.08762236299546862
31,3,10,10,1961249634.0,-2.556696079873883,-0.3991803224473648
32,3,10,10,1961248568.0,-2.5577072615983067,-0.002426179023784006
33,3,10,10,1961247461.0,-2.487061185923188,0.1587182590328634
34,3,10,10,1961246292.0,-2.824390193548387,-0.815011754607374
35,3,10,10,1961245079.0,-2.8523242428659525,-0.06568587474847964
36,3,10,10,1961243816.0,-3.1358586112591014,-0.7039775856797832
37,3,10,10,1961242495.0,-3.137237746446974,-0.003275302777325325
38,3,10,10,1961239690.0,-4.117656235229458,-1.985512168877579
39,3,10,10,1961237437.0,-2.392081167577277,8.338118432817675
40,3,10,10,1961235873.0,-4.760789212569853,-7.210306718879848
41,3,10,10,1961234291.0,-4.289752345487458,1.2772639098468823
