record_num,mode,Rope_S,Touch_S,cur_pos_abs,cur_vel,cur_acc
0,0,452,13,1952698797.0,-0.00382587248016054,0.06374718709960295
1,3,452,13,1952698800.0,0.012306026405867972,0.06617319122275299
2,3,452,13,1952698801.0,0.0021964306661080854,-0.022205026104764273
3,3,452,13,1952698802.0,0.012076890296573568,0.06713712864519039
4,3,451,13,1952698800.0,-0.006733510996949751,-0.06333002198348854
5,3,451,13,1952698797.0,-0.007261187604593456,-0.0012771862808854647
6,3,451,13,1952698799.0,-0.011810504974657406,-0.0914371740020364
7,3,449,13,1952698805.0,0.02205593689745837,0.0810773920707776
8,3,449,13,1952698803.0,-0.007968659637123588,-0.03174976820616131
9,3,449,13,1952698806.0,0.010609537942664417,0.06570203070969238
10,3,448,13,1952698815.0,0.021596622232393156,0.02636487876008147
11,3,448,12,1952698820.0,0.01120512930113272,-0.023287604385315974
12,3,448,12,1952698834.0,0.033776391141788896,0.05445541203526693
13,3,448,12,1952698862.0,0.06687956264236902,0.07906877257264762
14,3,447,12,1952698913.0,0.12324105778648384,0.13619706431349965
15,3,447,12,1952699079.0,0.3751168924088142,0.5691739780506322
16,3,447,12,1952699393.0,0.4847285425023878,0.06939395898787942
17,3,447,12,1952699531.0,0.47115502808302806,-0.04634224324231027
18,3,444,12,1952699846.0,0.7636144723153392,0.7089722672415671
19,3,444,12,1952700397.0,1.2473345768566493,1.0950286967605976
20,3,444,13,1952700804.0,0.9739170059333637,-0.6542654104255022
21,3,442,13,1952701238.0,1.0571623996747779,0.20277396361646344
22,3,442,13,1952701702.0,1.1046413077534338,0.11303267911791293
23,3,442,13,1952702191.0,1.1856946791536593,0.19653282453315493
24,3,442,13,1952702697.0,1.1195430838212796,-0.14636276885001923
25,3,439,13,1952703218.0,1.258339504779454,0.33522652517019175
26,3,439,13,1952703762.0,1.3218824957997797,0.15440508742744663
27,3,439,13,1952704330.0,1.3536932052957555,0.07581327693721777
28,3,439,13,1952705271.0,2.1525087609075046,1.8272661868262334
29,3,436,13,1952706008.0,1.7512900390912698,-0.9533926065314833
30,3,436,13,1952706836.0,2.0185316547515257,0.6514923438130045
31,3,436,13,1952707710.0,2.1131091169010836,0.22866418480732026
32,3,436,13,1952708638.0,2.2260875676293965,0.2710128497589739
33,3,429,13,1952709612.0,2.212669715647511,-0.03048180157018376
34,3,429,13,1952710614.0,2.3946966427350427,0.43502921275837175
35,3,429,13,1952711642.0,2.498258596674199,0.2516775697634963
36,3,429,13,1952712676.0,2.4633138339202545,-0.08324943666813567
37,3,425,13,1952713730.0,2.548597034474807,0.2062168045767104
38,3,425,13,1952715411.0,3.838119229178008,2.9442831242963607
39,3,425,13,1952716595.0,2.8435959322033897,-2.388532433917676
40,3,420,13,1952717792.0,2.9054293333333336,0.1500856954241484
41,3,420,13,1952719028.0,2.9332124838746183,0.06593356311412947
42,3,420,13,1952720323.0,3.14840231857176,0.5231692467131697
43,3,420,13,1952721669.0,3.035232894623656,-0.25519729437807936
44,3,409,13,1952723053.0,3.342498264524673,0.7420765647707224
45,3,409,13,1952724474.0,3.4477387539769766,0.2553425151106355
46,3,409,13,1952725934.0,3.4762056312443232,0.06777857469910371
47,3,409,13,1952727445.0,3.659118558891455,0.44295174600581766
48,3,403,13,1952729778.0,5.254986967402395,3.594628241926357
49,3,403,13,1952731364.0,3.8507474060781473,-3.4094400052217297
50,3,403,13,1952732956.0,3.823483719651855,-0.06547880727928507
51,3,403,13,1952734587.0,3.934949568018407,0.26892243524142806
52,3,397,13,1952736279.0,4.044430596683194,0.2616952849221118
53,3,397,13,1952738012.0,3.9037211772287863,-0.3169592270973678
54,3,397,13,1952739791.0,4.311606850803189,0.9885568659515843
55,3,397,12,1952741617.0,4.375956521540395,0.15421213653967944
56,3,390,12,1952743483.0,4.51645869005713,0.3400708681507378
57,3,390,12,1952745364.0,4.300150337384858,-0.49450209235663556
58,3,390,12,1952748190.0,6.753904902564102,5.8642692807689825
59,3,377,12,1952750110.0,4.650380366114224,-5.094890210388561
60,3,377,12,1952752067.0,4.656636369206331,0.014886015086650505
61,3,377,12,1952755127.0,2.9704376393082623,-6.040814351602447
62,3,377,12,1952757207.0,7.709572569812655,17.565723396566188
63,3,369,12,1952759283.0,4.742579032679739,-6.778035327217179
64,3,369,12,1952761351.0,4.909339298166176,0.395881394934812
65,3,369,12,1952763457.0,5.154162810129536,0.599173903327091
66,3,362,12,1952767813.0,7.848029447518515,9.188315835212885
67,3,362,12,1952768927.0,3.8145600914360354,-13.811410445011159
68,3,362,12,1952773387.0,8.021597386969228,9.347965868239614
69,3,362,12,1952774507.0,4.2543203042927,-14.310003022077968
70,3,346,12,1952776771.0,5.142093602642551,2.0163486740466627
71,3,346,12,1952779075.0,5.4702119415827015,0.7790264131608905
72,3,346,12,1952781424.0,5.718841476665893,0.6053098755035812
73,3,346,12,1952783783.0,5.62627268054134,-0.22077884218150623
74,3,337,12,1952786131.0,5.3945145661700264,-0.5324627443799613
75,3,337,12,1952789695.0,8.555199139243404,7.587061150105856
76,3,337,12,1952792118.0,5.821951530705774,-6.567410275824828
77,3,328,12,1952794563.0,5.93430546843354,0.27269635462491804
78,3,328,12,1952797029.0,5.887831538680481,-0.11096134198154221
79,3,328,13,1952799498.0,5.987013109787825,0.2405027810729135
