record_num,mode,Rope_S,Touch_S,cur_pos_abs,cur_vel,cur_acc,Position_Smooth,Velocity_Smooth,Acceleration_Smooth
0,0,17,13,1957092521.0,-0.0070238700494013,-0.010231739090944,1957093132.1981738,-57630.11249054496,2.7518566327752985
1,3,17,13,1957092521.0,0.0,0.0264930271975577,1957093157.589038,-78269.0372363597,2.822939641594205
2,3,17,13,1957092523.0,0.0037200035476718,0.0069192131973455,1957093176.9418957,-99974.20711445804,2.9663373679161786
3,3,17,13,1957092521.0,-0.0048896059687572,-0.0210487990401006,1957093188.7432017,-122764.09775510238,3.112078710323084
4,3,17,13,1957092525.0,0.0094915229689975,0.0341247039082036,1957093191.3161755,-146655.3877693043,3.2599090090966802
5,3,17,13,1957092521.0,-0.0097502272331028,-0.0469028592082699,1957093182.8181791,-171662.7328915526,3.4095443291830247
6,3,17,13,1957092523.0,0.0048708674950644,0.035608707526844,1957093161.2403657,-197798.55270704968,3.5606731421878326
7,3,17,13,1957092519.0,-0.0089069951157358,-0.0306798387449193,1957093124.4099672,-225072.83002437008,3.7129581698373695
8,3,17,13,1957092519.0,0.0,0.0217163548461961,1957093069.9957256,-253492.92525461022,3.866038540479143
9,3,17,13,1957092517.0,-0.0047273079740772,-0.0111737203408869,1957092995.5170727,-283063.4081315572,4.019532251689158
10,3,17,13,1957092507.0,-0.0243274984049649,-0.0476823601444429,1957092898.3575814,-313785.9090299476,4.1730389247279
11,3,17,13,1957092500.0,-0.0168542640642939,0.0179936949988597,1957092775.7829752,-345658.9920024757,4.326142828274728
12,3,17,13,1957092481.0,-0.0428082165878813,-0.0584759168916486,1957092624.9640265,-378678.0514540685,4.478416139899547
13,3,17,13,1957092430.0,-0.1240486569241475,-0.1976032845419638,1957092443.0043316,-412835.2341009689,4.629422405154107
14,3,17,13,1957092200.0,-0.5233665799648506,-1.1579898972118243,1957092226.9693003,-448119.3875313801,4.778720148229827
15,3,17,13,1957092114.0,-0.3002664979605427,0.7789474455598072,1957091973.910282,-484516.03632441635,4.92586658688436
16,3,17,13,1957091916.0,-0.4683730144943883,-0.3976593732581212,1957091680.8854825,-522007.3863346455,5.070421406744494
17,3,17,13,1957091666.0,-0.6116642361313656,-0.3505844625076474,1957091344.9841487,-560572.3574255838,5.211950552292583
18,3,17,13,1957091377.0,-0.6876298252779669,-0.1807481134671809,1957090963.352585,-600186.6446190343,5.350029991801556
19,3,17,13,1957091042.0,-0.814262772369031,-0.307798491258599,1957090533.2180996,-640822.8073026071,5.484249413524832
20,3,17,13,1957090446.0,-1.3474585942216473,-1.205468611675138,1957090051.9087481,-682450.3858219067,5.61421581435254
