record_num,mode,Rope_S,Touch_S,cur_pos_abs,cur_vel,cur_acc,Position_Smooth,Velocity_Smooth,Acceleration_Smooth
0,0,21,11,1950818094.0,0.0036027349252705,0.0129796989417643,1950818094.1763408,-24.889621926399485,-0.0001056952174509694
1,3,21,11,1950818095.0,0.0045324227361141,0.0042137381713554,1950818094.150824,-24.096907795517215,-0.00010580899001700317
2,3,21,11,1950818093.0,-0.0044572837407013,-0.0200348362563938,1950818094.1277716,-23.302487076144438,-0.00010590956029557242
3,3,21,11,1950818095.0,0.0052340475447682,0.0253624443601236,1950818094.1070251,-22.508264391083628,-0.00010575764394581052
4,3,21,11,1950818094.0,0.003701291916696,0.0331829246680691,1950818094.0884252,-21.71612241695728,-0.00010535757837997129
5,3,21,11,1950818094.0,0.0,-0.0152633403710215,1950818094.0718327,-20.92790071538406,-0.00010471646505298509
6,3,21,11,1950818095.0,0.0026006349206349,0.0067633019904258,1950818094.0571482,-20.145375441162503,-0.00010384399630243403
7,3,21,11,1950818093.0,-0.0051140693775528,-0.0197267665041189,1950818094.044317,-19.37024077084755,-0.00010275225931895994
8,3,21,11,1950818094.0,0.0027784207737148,0.0219286585926225,1950818094.033301,-18.604091551378104,-0.00010145558900092245
9,3,21,11,1950818093.0,-0.0025873197211769,-0.0138828862011516,1950818094.0240045,-17.84840693583371,-9.997041053964466e-05
10,3,21,11,1950818094.0,0.0025656373868363,0.0132206194090828,1950818094.016212,-17.104535393283435,-9.831498751677638e-05
11,3,21,11,1950818095.0,0.0026293279839518,0.0001674634693105,1950818094.0096092,-16.373682123082066,-9.650902040932045e-05
12,3,21,11,1950818093.0,-0.0050726298603132,-0.0195345906718464,1950818094.0038612,-15.656900087143628,-9.457311145996161e-05
13,3,21,11,1950818095.0,0.0052125818678928,0.0268062540809431,1950818093.998662,-14.955085451182642,-9.252817124923176e-05
14,3,21,11,1950818095.0,0.0,-0.0134344064021325,1950818093.9937522,-14.268977518405151,-9.03948569041263e-05
15,3,21,11,1950818093.0,-0.0053693964027395,-0.0144152088648762,1950818093.9889655,-13.599162597620747,-8.819311450921591e-05
16,3,21,11,1950818095.0,0.0052507561342013,0.0278819155397478,1950818093.9842322,-12.946080800766913,-8.594186439959041e-05
17,3,21,11,1950818093.0,-0.0051038014115356,-0.0264238027088797,1950818093.979516,-12.310034631626891,-8.365881907379584e-05
18,3,21,11,1950818094.0,0.002603055917582,0.0200613805765207,1950818093.9747696,-11.691198514659975,-8.13603800556218e-05
19,3,21,11,1950818095.0,0.0026032174776564,4.205760091840779e-07,1950818093.9699192,-11.089628930792564,-7.90615557807141e-05
20,3,21,11,1950818093.0,-0.00507907968031,-0.0195094996965652,1950818093.964897,-10.505275177949263,-7.677587872658584e-05
21,3,21,11,1950818095.0,0.0054884899241036,0.028999999648044,1950818093.9596746,-9.937990749893777,-7.451534139646808e-05
22,3,21,11,1950818094.0,-0.0025798400787304,-0.0208150011097349,1950818093.954264,-9.387545057002242,-7.229038760347635e-05
23,3,21,11,1950818094.0,0.0,0.0066473974453738,1950818093.9487326,-8.853634935841631,-7.010998833946427e-05
24,3,21,11,1950818094.0,0.0,0.0,1950818093.9432082,-8.335895231910278,-6.798181089402574e-05
25,3,21,11,1950818093.0,-0.002594842860678,-0.0067332094716118,1950818093.9378304,-7.833907772431245,-6.591245606801337e-05
26,3,21,11,1950818094.0,-0.004181341840295,-0.0394388259025242,1950818093.9326909,-7.347208390890078,-6.390769856471182e-05
27,3,21,11,1950818093.0,-0.0035873280875812,0.0021309222195198,1950818093.927787,-6.875292293960568,-6.197264462842262e-05
28,3,21,11,1950818094.0,0.002740479581836,0.0173412277158232,1950818093.9230084,-6.417618721463739,-6.0111736137057996e-05
29,3,21,11,1950818094.0,0.0,-0.0071866978066856,1950818093.9181514,-5.973616251904698,-5.832857554311263e-05
30,3,21,11,1950818094.0,0.0,0.0,1950818093.9129703,-5.542690088317049,-5.66256027563614e-05
31,3,21,11,1950818095.0,0.0025833357969943,0.0066736238400323,1950818093.90724,-5.124232210559277,-5.500370469367321e-05
32,3,21,11,1950818094.0,-0.0026414157062787,-0.0138007406821489,1950818093.9008193,-4.717634517911951,-5.3461866641741845e-05
33,3,21,11,1950818095.0,0.0025769869746866,0.0134477557375177,1950818093.8937006,-4.322304210933149,-5.199697403658042e-05
34,3,21,11,1950818094.0,-0.0027354751190243,-0.0145321078781062,1950818093.8860261,-3.9376799073632447,-5.060384102235279e-05
35,3,21,11,1950818093.0,-0.0025528326232501,0.0004662557216041,1950818093.8780591,-3.563246595597857,-4.927547993027537e-05
36,3,21,11,1950818094.0,0.0025815867544777,0.0132549490574762,1950818093.8700912,-3.198547708409114,-4.800354868190979e-05
37,3,21,11,1950818093.0,-0.0037200035476718,-0.013838426394691,1950818093.8623507,-2.8431933653692103,-4.677885679400013e-05
38,3,21,11,1950818094.0,0.0040298847040737,0.0312311561239908,1950818093.8549728,-2.496864856499112,-4.559181032611559e-05
39,3,21,11,1950818094.0,0.0,-0.0105338162369659,1950818093.8480182,-2.1593162104774763,-4.4432728650699704e-05
40,3,21,11,1950818093.0,-0.0025662652961331,-0.0065857175701373,1950818093.8415048,-1.8303739267386165,-4.3292030014634676e-05
41,3,21,11,1950818095.0,0.0052216669779022,0.020332994390735,1950818093.835426,-1.5099357602579562,-4.216032397036909e-05
42,3,21,11,1950818094.0,-0.0027336922375024,-0.0217475037336954,1950818093.8297846,-1.1979690671830803,-4.1028465939066946e-05
43,3,21,11,1950818093.0,-0.002544006793231,0.0004825610588035,1950818093.8246388,-0.894508771171952,-3.988763094065583e-05
44,3,21,11,1950818095.0,0.0052223171263151,0.0202791032067784,1950818093.8200905,-0.5996546030732428,-3.8729445863592684e-05
45,3,21,11,1950818093.0,-0.0051400784313725,-0.0266317629517105,1950818093.8162534,-0.3135670832180618,-3.754618682158421e-05
46,3,21,11,1950818094.0,0.0026096963663514,0.020224559129662,1950818093.8132553,-0.03646180074947955,-3.6331022975350174e-05
47,3,21,11,1950818094.0,0.0,-0.0072590091572207,1950818093.8112228,0.2313982614121908,-3.50782812261152e-05
48,3,21,11,1950818093.0,-0.0025401550387596,-0.0064523876209362,1950818093.8102663,0.4897124176422485,-3.3783705250979007e-05
49,3,21,11,1950818094.0,0.0026075871930369,0.0134231867166886,1950818093.810465,0.7381538401768759,-3.244467685968396e-05
50,3,21,11,1950818093.0,-0.0025987013630731,-0.0135295891673152,1950818093.8118367,0.9763825705375079,-3.106035752243901e-05
51,3,21,11,1950818093.0,0.0,0.0066538938538202,1950818093.8143046,1.2040592030134611,-2.9631698103286778e-05
52,3,21,11,1950818094.0,0.0026615292848531,0.0070837381341306,1950818093.8176668,1.4208580420868095,-2.8161268240700184e-05
53,3,21,11,1950818094.0,0.0,-0.0067795839460564,1950818093.8216114,1.626478226623964,-2.665289197494351e-05
54,3,21,11,1950818095.0,0.0027361889229564,0.0074867298221097,1950818093.8258095,1.8206514217109622,-2.5111144512548376e-05
55,3,21,11,1950818094.0,-0.002598057482656,-0.0138586787884331,1950818093.8300235,2.0031453943121895,-2.3540827678939768e-05
56,3,21,11,1950818093.0,-0.0025381567322239,0.0001520374929747,1950818093.8341384,2.1737638368950587,-2.1946542807935345e-05
57,3,21,11,1950818095.0,0.0052698881769066,0.0205737617756916,1950818093.8380966,2.3323435364312197,-2.0332411963071747e-05
58,3,21,11,1950818093.0,-0.0050766206729605,-0.0262626503601024,1950818093.8418522,2.478750016341135,-1.8701920903011528e-05
59,3,21,11,1950818094.0,0.0027212768442224,0.0212202379471293,1950818093.845367,2.6128723499763926,-1.7057827063967056e-05
60,3,21,11,1950818094.0,0.0,-0.007156026553498,1950818093.848596,2.7346174223006408,-1.5402090212906633e-05
61,3,21,11,1950818094.0,0.0,0.0,1950818093.8514872,2.843903703169992,-1.3735813280034067e-05
62,3,21,11,1950818095.0,0.0026067768800497,0.0067952857023617,1950818093.8540254,2.9406546215011518,-1.205921401385055e-05
63,3,21,11,1950818093.0,-0.0052553614835233,-0.0206591895670267,1950818093.8562799,3.0247919133777503,-1.037167135443875e-05
64,3,21,11,1950818094.0,0.0025632854611012,0.0200414240386401,1950818093.8583875,3.096229691817733,-8.671881465277013e-06
65,3,21,11,1950818095.0,0.0027016450885668,0.0003737986079982,1950818093.860506,3.1548701353569055,-6.9581247188181665e-06
66,3,21,11,1950818093.0,-0.0051193750762846,-0.02001936785153,1950818093.8628285,3.2006015626000055,-5.228623717065487e-06
67,3,21,11,1950818094.0,0.0026304822828472,0.0203858624777901,1950818093.8655984,3.233299491112888,-3.4819702869718584e-06
68,3,21,11,1950818093.0,-0.0037223145189918,-0.0138556253782974,1950818093.8690467,3.2528311169045834,-1.7175856008125656e-06
69,3,21,11,1950818094.0,0.0041855144197185,0.0330983320516404,1950818093.8733284,3.2590632751250763,6.38489369482483e-08
70,3,21,11,1950818094.0,0.0,-0.010886344953915,1950818093.878522,3.2518733828503597,1.8600531904011082e-06
71,3,21,11,1950818093.0,-0.0025192528079764,-0.0063466347104972,1950818093.8846583,3.2311624772690597,3.666931711789415e-06
72,3,21,11,1950818094.0,0.0,-0.0109583630922745,1950818093.891721,3.1968694071735184,5.478477466152517e-06
73,3,21,11,1950818094.0,0.0,0.0,1950818093.899628,3.148985315276772,7.2867853835462645e-06
74,3,21,11,1950818094.0,0.0,0.0,1950818093.9082618,3.0875676264203245,9.08215850772658e-06
75,3,21,11,1950818094.0,0.0,0.0,1950818093.9175148,3.0127529376608733,1.0853275322704962e-05
76,3,21,11,1950818093.0,-0.0025847685955506,-0.0066810286925447,1950818093.9272857,2.92476849657975,1.2587390005456278e-05
77,3,21,11,1950818094.0,0.002650596562184,0.0138768408888694,1950818093.9374318,2.823942087579029,1.4270569818466416e-05
78,3,21,11,1950818094.0,0.0,-0.0069155310793448,1950818093.9477339,2.7107099493027538,1.588800253529105e-05
79,3,21,11,1950818094.0,0.0,0.0,1950818093.9579268,2.5856220495496633,1.7424395764289448e-05
80,3,21,11,1950818094.0,0.0,0.0,1950818093.967742,2.449344012838412,1.8864451624183686e-05
81,3,21,11,1950818094.0,0.0,0.0,1950818093.9769218,2.302655275186908,2.0193376016101717e-05
82,3,21,11,1950818094.0,0.0,0.0,1950818093.9852164,2.1464433725968863,2.1397385697629368e-05
83,3,21,11,1950818095.0,0.0026043489599503,0.0067826335051943,1950818093.9923978,1.9816944897224675,2.24641866351305e-05
84,3,21,11,1950818093.0,-0.0050901747572815,-0.0195832351973789,1950818093.998289,1.8094805730699288,2.3383398753878915e-05
85,3,21,11,1950818095.0,0.0046816653644379,0.0228742427223399,1950818094.0027623,1.6309435084142838,2.4146905477139017e-05
86,3,21,11,1950818094.0,-0.0025631288193595,-0.0185693407628201,1950818094.0057213,1.4472769909128436,2.4749117694581677e-05
87,3,21,11,1950818094.0,0.0,0.006689404181168,1950818094.0071166,1.2597067429955586,2.518714817631165e-05
88,3,21,11,1950818095.0,0.0025954851485148,0.0067365431561611,1950818094.0069602,1.0694697682681689,2.546088806916015e-05
89,3,21,11,1950818093.0,-0.0050886308765544,-0.0195508150320972,1950818094.0053248,0.8777934219581564,2.557297638835704e-05
90,3,21,11,1950818095.0,0.0055061424351821,0.029168165461444,1950818094.0023289,0.6858751224428132,2.5528667893858722e-05
91,3,21,11,1950818093.0,-0.0051746394423539,-0.0276345975893388,1950818093.9981053,0.4948634035502755,2.5335627767183865e-05
92,3,21,11,1950818094.0,0.0025893962217557,0.0201041646142228,1950818093.9927707,0.3058407059350553,2.5003697014003577e-05
93,3,21,11,1950818095.0,0.0026362690131992,0.0001235692876445,1950818093.9864109,0.11980794834022185,2.4544666736432558e-05
94,3,21,11,1950818093.0,-0.005043352371791,-0.0193655183632238,1950818093.979114,-0.062329295111433085,2.397207374275643e-05
95,3,21,11,1950818094.0,0.002612622399402,0.0200021711764756,1950818093.970987,-0.23977315780112457,2.3301006909574637e-05
96,3,21,11,1950818095.0,0.0027433475047419,0.0003586243915414,1950818093.962127,-0.4118443987550527,2.2547910622141748e-05
97,3,21,11,1950818093.0,-0.0051196875190723,-0.0201281411367252,1950818093.952638,-0.5779918171332508,2.173037467961495e-05
98,3,21,11,1950818095.0,0.0052474715375953,0.027200686037794,1950818093.942665,-0.7378000189492769,2.0866891488639945e-05
99,3,21,11,1950818094.0,-0.0025321806326974,-0.0196994845547378,1950818093.9323967,-0.89099518946285,1.9976550274096495e-05
100,3,21,11,1950818094.0,0.0,0.006589363045319,1950818093.922083,-1.0374482730607244,1.907863966556303e-05
101,3,21,11,1950818094.0,0.0,0.0,1950818093.9120376,-1.1771747844462954,1.8192147675283617e-05
102,3,21,11,1950818093.0,-0.0025529880090084,-0.0065177477741409,1950818093.902594,-1.3103304881899787,1.733518176942268e-05
