record_num,mode,Rope_S,Touch_S,cur_pos_abs,cur_vel,cur_acc,Position_Smooth,Velocity_Smooth,Acceleration_Smooth
0,0,16,13,1958392798.0,0.0044417070846129,-6.287717568947739e-05,1958393326.5898917,-46517.97862835504,2.476777945583765
1,3,16,13,1958392796.0,-0.0083618500797448,-0.0535307127479011,1958393337.5840495,-65093.81322023328,2.541536486001771
2,3,16,13,1958392797.0,0.0062873692100134,0.0272773663928449,1958393341.5292246,-84641.02591838161,2.6723081231540955
3,3,16,13,1958392796.0,-0.0035228489837056,-0.0345599171936747,1958393336.9750571,-105178.4350675447,2.805501590425107
4,3,16,13,1958392796.0,0.0,0.0084106896537754,1958393322.3356237,-126723.54977475821,2.940930497927912
5,3,16,13,1958392796.0,0.0,0.0,1958393295.8907166,-149292.3925364634,3.0783856633237945
6,3,16,13,1958392793.0,-0.0072062951720978,-0.0173102300358001,1958393255.7896333,-172899.33472461512,3.217636759698171
7,3,16,13,1958392794.0,0.0022651098990117,0.02145377338412,1958393200.0578513,-197556.94393193597,3.358434012583568
8,3,16,13,1958392789.0,-0.0120803686635944,-0.0346597339383948,1958393126.6070302,-223275.84491336864,3.5005101215561774
9,3,16,13,1958392786.0,-0.0071562941477563,0.0117460418802695,1958393033.2487888,-250064.59575527863,3.6435823887998544
10,3,16,13,1958392780.0,-0.0146193935169048,-0.018184331088891,1958392917.7126572,-277929.58074536646,3.7873550295375114
11,3,16,13,1958392759.0,-0.0503143973494801,-0.0855225050582577,1958392777.6684785,-306874.9211983413,3.931521631092811
12,3,16,13,1958392733.0,-0.0585796648044692,-0.0186221768089442,1958392610.7531111,-336902.4052117586,4.075767719326009
13,3,16,13,1958392569.0,-0.3814312148249828,-0.8659281315301216,1958392414.599234,-368011.43698823143,4.219773384889211
14,3,16,13,1958392503.0,-0.2505421884333423,0.4968670168798653,1958392186.8623202,-400199.0059850968,4.363215919075022
15,3,16,13,1958392228.0,-0.4025912468850945,-0.0391243266863976,1958391925.244282,-433459.67577435676,4.505772410857576
16,3,16,13,1958391999.0,-0.8129459297503174,-1.456751830520809,1958391627.5131383,-467785.59214796044,4.647122262296146
17,3,16,13,1958391732.0,-0.6470671797538569,0.4020026027764226,1958391291.5177834,-503166.50970879896,4.786949587296167
18,3,16,13,1958391258.0,-0.6718564759725401,0.0500210706887951,1958390915.1989365,-539589.835957403,4.924945467692125
19,3,16,13,1958390884.0,-1.314674569225612,-2.2596165771067147,1958390496.5943048,-577040.6917241808,5.060810050106957
20,3,16,13,1958390462.0,-1.0074542022881212,0.7334370845963828,1958390033.8382337,-615501.9867090073,5.194254475574118
21,3,16,13,1958390001.0,-1.116898188539741,-0.2651578958590083,1958389525.164162,-654954.5088577926,5.325002638322526
22,3,16,13,1958389503.0,-1.1098046820041445,0.0158080457129168,1958388968.913617,-695377.0262838452,5.452792768137591
23,3,16,13,1958388967.0,-1.304937859298816,-0.4750684154050095,1958388363.5486875,-736746.4003798565,5.577378824005416
24,3,16,13,1958388379.0,-1.4297934674473884,-0.3036015865731291,1958387707.6665375,-779037.7086439264,5.698531679345822
25,3,16,13,1958387742.0,-1.5178795864106351,-0.209896580565857,1958387000.0156846,-822224.3755700438,5.816040073982409
26,3,16,13,1958387036.0,-1.7148358952976603,-0.478396244029468,1958386239.5129235,-866278.3097536626,5.929711308342381
27,3,17,13,1958385410.0,-1.7359926830680177,3.914926334001535,1958385425.2460058,-911170.0451951795,6.039371667669007
28,3,17,13,1958384972.0,-1.5311761560260044,0.716004983029191,1958384556.4401333,-956868.8847686977,6.144866591060325
29,3,17,13,1958384076.0,-2.1329793881605084,-1.432627109231329,1958383632.4136107,-1003343.0440610844,6.246060629356249
30,3,17,13,1958382686.0,-3.188102236561492,-2.420028426499502,1958382652.5636551,-1050559.7942090414,6.34283724778927
31,3,17,13,1958381688.0,-2.3961963432365905,1.9013647352431209,1958381616.3582065,-1098485.6027779235,6.435098522690248
32,3,17,13,1958380632.0,-2.5390879523045173,-0.3435742074524432,1958380523.3088524,-1147086.2720493951,6.5227647726833045
33,3,17,13,1958379546.0,-2.655520401096018,-0.2847041833475111,1958379372.9524832,-1196327.074368173,6.605774159195104
34,3,17,13,1958378422.0,-2.655998701971831,-0.001130219310776,1958378164.8560948,-1246172.8844373217,6.684082278511518
35,3,18,13,1958377277.0,-2.622442024791132,0.0768562798698828,1958376898.632929,-1296588.3085458458,6.757661744684726
36,3,18,13,1958376072.0,-2.852382369208194,-0.5442969165019824,1958375573.9644644,-1347537.8106075926,6.826501738701124
37,3,18,13,1958374800.0,-3.109426907564984,-0.6283500031519041,1958374190.6273355,-1398985.8346263627,6.890607482224579
38,3,18,13,1958373454.0,-3.276761961808578,-0.4073678607894385,1958372748.52198,-1450896.9228409613,6.949999585165238
39,3,18,13,1958372045.0,-3.3523026467751995,-0.1797269255875205,1958371247.699967,-1503235.8284038412,7.0047132183322995
40,3,18,13,1958369148.0,-5.781711014574518,-9.769608109041506,1958369688.3666794,-1555967.6211159457,7.054797084433958
41,3,18,13,1958368387.0,-2.601569275409569,10.871693876555955,1958368070.8273008,-1609057.7846703506,7.100312204258641
42,3,18,13,1958366809.0,-3.83620918796731,-3.001480973628113,1958366395.4235327,-1662472.3041798254,7.141330577059043
43,3,18,13,1958364367.0,-5.493719356361296,-3.728868016163682,1958364662.526714,-1716177.7433262363,7.177933784923578
44,3,18,13,1958362708.0,-4.028455008394604,3.5580177825126413,1958362872.5373125,-1770141.310953679,7.2102115938392775
45,3,18,13,1958361005.0,-4.072813155433916,-0.1060848178581203,1958361025.8482487,-1824330.9172338254,7.238260588918812
46,3,19,13,1958359246.0,-4.250118518347831,-0.4284075078583369,1958359122.825558,-1878715.2197874612,7.262182874384832
47,3,19,13,1958357430.0,-4.40484389544298,-0.3752979805989425,1958357163.8302639,-1933263.660349598,7.282084853669504
48,3,19,13,1958354602.0,-3.893378302069233,1.2670038745903849,1958355149.239191,-1987946.4925925038,7.2980760868955405
49,3,19,13,1958352640.0,-6.783073234421365,-9.990322299327628,1958353079.4203987,-2042734.801653031,7.310268228674152
50,3,19,13,1958350658.0,-4.757961611721612,4.861454773086118,1958350954.6769254,-2097600.516022616,7.3187740786304545
51,3,19,13,1958348666.0,-4.832303972238289,-0.1803438172842908,1958348775.2200708,-2152516.412832488,7.32370679401715
52,3,19,13,1958346623.0,-4.556989508615189,0.6140994235440448,1958346541.1915693,-2207456.1179328733,7.325179290884423
53,3,19,13,1958344512.0,-5.151970059350634,-1.452071048453323,1958344252.7065992,-2262394.102195754,7.323303810961172
54,3,19,13,1958342361.0,-5.199969973487032,-0.1160381739838322,1958341909.8998547,-2317305.675097291,7.318191587752383
55,3,19,13,1958340136.0,-5.305472654917567,-0.2515692545394092,1958339512.9718525,-2372166.97601204,7.309952523803152
56,3,19,13,1958337881.0,-5.462405729136587,-0.3801472832394638,1958337062.2349226,-2426954.962954338,7.298694793588917
57,3,19,13,1958333316.0,-4.666617347449471,12.185761306736822,1958334558.1241488,-2481647.3979158737,7.284524319668735
58,3,19,13,1958332145.0,-4.072578759535655,2.065985427397404,1958332001.1221066,-2536222.827749369,7.2675441348727166
