record_num,mode,Rope_S,Touch_S,cur_pos_abs,cur_vel,cur_acc,Position_Smooth,Velocity_Smooth,Acceleration_Smooth
0,0,21,12,1950767350.0,0.0041363944773175,-0.0202326770211527,1950767349.9613101,-155.44652162744222,-0.0006125163434773108
1,3,21,12,1950767350.0,0.0041363944773175,-0.0202326770211527,1950767349.7822187,-150.8526490513624,-0.0006165193152753279
2,3,21,12,1950767346.0,-0.0075654834054834,-0.0221325907338309,1950767349.6054454,-146.1987318983123,-0.000623967410557149
3,3,21,12,1950767350.0,0.0092370291251445,0.038801324405254,1950767349.4332035,-141.49313789300516,-0.0006302713785192414
4,3,21,12,1950767345.0,-0.013402044989775,-0.0606819779630007,1950767349.2673514,-136.74466122052368,-0.0006353749549600138
5,3,21,12,1950767350.0,0.0127053919786744,0.0663410440485372,1950767349.1093242,-131.96251356860495,-0.0006392247280723856
6,3,21,12,1950767348.0,-0.0052616245374145,-0.0472678474825929,1950767348.9601755,-127.1562902994379,-0.0006417730876123262
7,3,21,12,1950767346.0,-0.005075699158952,0.000471850643545,1950767348.8206804,-122.33591725442005,-0.000642980472398556
8,3,21,12,1950767350.0,0.0107332966540848,0.0424206604661273,1950767348.691355,-117.51158321345956,-0.0006428170001284817
9,3,21,12,1950767348.0,-0.0053680220131823,-0.0432161165235766,1950767348.5724785,-112.69366225249283,-0.0006412635823969965
10,3,21,12,1950767347.0,-0.0025381567322239,0.0071826416141512,1950767348.4642017,-107.89262947750461,-0.000638312632021829
11,3,21,12,1950767350.0,0.0076922068712556,0.0262313577353764,1950767348.3665936,-103.11897277216539,-0.0006339684689782653
12,3,21,12,1950767345.0,-0.0128313264806656,-0.0526688313950667,1950767348.2796211,-98.38310244283063,-0.000628247494528038
13,3,21,12,1950767349.0,0.0105021696400625,0.0612630836389077,1950767348.2031105,-93.69526035424482,-0.0006211781394113017
14,3,21,12,1950767348.0,-0.0027137060041407,-0.0358640010856527,1950767348.1367075,-89.0654303516611,-0.0006128005517547412
15,3,21,12,1950767346.0,-0.0051372453916345,-0.0062251582749234,1950767348.0799115,-84.5032520779237,-0.0006031659999999125
16,3,21,12,1950767350.0,0.0103896556849145,0.0403297890097684,1950767348.0321078,-80.01794035166242,-0.0005923360002527005
17,3,21,12,1950767345.0,-0.0131318221665623,-0.0617759728480655,1950767347.9925666,-75.6182120741332,-0.0005803811955538217
18,3,21,12,1950767349.0,0.0102512623732127,0.0599265336780622,1950767347.9604397,-71.31222241835509,-0.0005673800136681829
19,3,21,12,1950767350.0,0.0026144137630119,-0.0199658821125474,1950767347.9347854,-67.10751186911045,-0.000553417143562713
20,3,21,12,1950767345.0,-0.0133866462402655,-0.0428401059466274,1950767347.914687,-63.0109652649144,-0.0005385819076049231
21,3,21,12,1950767350.0,0.0130476700055994,0.0689812470399406,1950767347.8992908,-59.02878325503661,-0.0005229666224710755
22,3,21,12,1950767347.0,0.0,0.0293429217295114,1950767347.8877323,-55.166465927848265,-0.0005066650137439708
23,3,21,12,1950767351.0,0.0038304146118721,-0.0325204921814866,1950767347.8791869,-51.428808048877045,-0.0004897707354516688
24,3,21,12,1950767348.0,-0.0120249541284403,-0.0635533605972551,1950767347.873031,-47.81990489607323,-0.0004723760898278419
25,3,21,12,1950767347.0,-0.0025913159520573,0.0244455370923984,1950767347.8689053,-44.34316670145942,-0.0004545710757429636
26,3,21,12,1950767351.0,0.0103812981869933,0.0336681439105729,1950767347.866639,-41.00133875992878,-0.000436442836447361
27,3,21,12,1950767344.0,-0.0179682545899632,-0.0727702831154225,1950767347.8661726,-37.796524154749,-0.00041807545973972585
28,3,21,12,1950767349.0,0.0130622983494238,0.0810660680883732,1950767347.867463,-34.73020686383289,-0.0003995499898527539
29,3,21,12,1950767348.0,-0.0027067010841507,-0.0426819678628289,1950767347.8703609,-31.803274306957693,-0.0003809444834724225
